,index,Adversaire,Date,Lieu,Genre,Infos,Victoire,Score vainqueur,Score perdant,Score mi-temps vainqueur,Score mi-temps perdant,Année,Compétition
778,?refer=match&param=2110&GET_CAT=1,SUISSE,1988-06-30,AMSTERDAM,Qualifications Jeux Olympiques,30/06/1988 à AMSTERDAM  (Pays-Bas),True,96,56,42.0,18.0,1988,Qualifications Jeux Olympiques
779,?refer=match&param=2111&GET_CAT=1,URSS,1988-07-01,AMSTERDAM,Qualifications Jeux Olympiques,01/07/1988 à AMSTERDAM  (Pays-Bas),False,111,71,58.0,29.0,1988,Qualifications Jeux Olympiques
780,?refer=match&param=2112&GET_CAT=1,POLOGNE,1988-07-02,AMSTERDAM,Qualifications Jeux Olympiques,02/07/1988 à AMSTERDAM  (Pays-Bas),True,74,72,41.0,39.0,1988,Qualifications Jeux Olympiques
781,?refer=match&param=2113&GET_CAT=1,ESPAGNE,1988-07-04,ROTTERDAM,Qualifications Jeux Olympiques,04/07/1988 à ROTTERDAM  (Pays-Bas),False,97,70,51.0,35.0,1988,Qualifications Jeux Olympiques
782,?refer=match&param=2114&GET_CAT=1,GRECE,1988-07-05,ROTTERDAM,Qualifications Jeux Olympiques,05/07/1988 à ROTTERDAM  (Pays-Bas),False,89,79,53.0,42.0,1988,Qualifications Jeux Olympiques
783,?refer=match&param=2115&GET_CAT=1,ITALIE,1988-07-06,ROTTERDAM,Qualifications Jeux Olympiques,06/07/1988 à ROTTERDAM  (Pays-Bas),False,93,82,48.0,42.0,1988,Qualifications Jeux Olympiques
784,?refer=match&param=2116&GET_CAT=1,ALLEMAGNE,1988-07-08,ROTTERDAM,Qualifications Jeux Olympiques,08/07/1988 à ROTTERDAM  (Pays-Bas),False,96,90,48.0,47.0,1988,Qualifications Jeux Olympiques
785,?refer=match&param=2117&GET_CAT=1,SERBIE,1988-07-09,ROTTERDAM,Qualifications Jeux Olympiques,09/07/1988 à ROTTERDAM  (Pays-Bas),False,104,81,54.0,27.0,1988,Qualifications Jeux Olympiques
786,?refer=match&param=2118&GET_CAT=1,GRANDE-BRETAGNE,1988-07-10,ROTTERDAM,Qualifications Jeux Olympiques,10/07/1988 à ROTTERDAM  (Pays-Bas),False,91,76,40.0,45.0,1988,Qualifications Jeux Olympiques
787,?refer=match&param=2009&GET_CAT=1,POLOGNE,1988-11-24,TORUN,Qualifications Championnat d'Europe,24/11/1988 à TORUN  (Pologne),True,103,88,50.0,43.0,1988,Qualifications Championnat d'Europe
788,?refer=match&param=2010&GET_CAT=1,FINLANDE,1988-12-01,PARIS,Qualifications Championnat d'Europe,01/12/1988 à PARIS  (France),True,123,88,57.0,44.0,1988,Qualifications Championnat d'Europe
789,?refer=match&param=1393&GET_CAT=1,URSS,1988-12-27,PARIS,Amical,27/12/1988 à PARIS  (France),True,93,92,41.0,46.0,1988,Amical
790,?refer=match&param=1394&GET_CAT=1,ISRAEL,1988-12-28,PARIS,Amical,28/12/1988 à PARIS  (France),False,100,98,45.0,52.0,1988,Amical
791,?refer=match&param=1395&GET_CAT=1,BELGIQUE,1989-05-03,BRAINE,Amical,03/05/1989 à BRAINE  (France),False,94,65,49.0,30.0,1989,Amical
792,?refer=match&param=1396&GET_CAT=1,BELGIQUE,1989-05-06,OSTENDE,Amical,06/05/1989 à OSTENDE  (Belgique),False,106,74,56.0,34.0,1989,Amical
793,?refer=match&param=1397&GET_CAT=1,GRECE,1989-05-24,DORSTEN,Amical,24/05/1989 à DORSTEN  (Allemagne),False,83,77,46.0,45.0,1989,Amical
794,?refer=match&param=1398&GET_CAT=1,ALLEMAGNE,1989-05-26,WUPPERTAL,Amical,26/05/1989 à WUPPERTAL  (Allemagne),False,95,94,46.0,49.0,1989,Amical
795,?refer=match&param=1399&GET_CAT=1,ESPAGNE,1989-06-10,ALGESIRAS,Amical,10/06/1989 à ALGESIRAS  (Espagne),False,108,96,51.0,40.0,1989,Amical
796,?refer=match&param=1400&GET_CAT=1,POLOGNE,1989-06-11,ALGESIRAS,Amical,11/06/1989 à ALGESIRAS  (Espagne),True,108,79,52.0,44.0,1989,Amical
